rank,rusher,posteam,rushes,mean_epa,avg_ryoe,headshot
33,K.Drake,ARI,241,0,-0.53,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2979843.png&w=350&h=254
56,T.Gurley,ATL,229,-0.13,-1.39,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2977644.png&w=350&h=254
9,G.Edwards,BAL,147,0.14,0.17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3051926.png&w=350&h=254
17,D.Singletary,BUF,182,-0.04,-0.15,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4040761.png&w=350&h=254
39,M.Davis,CAR,171,-0.09,-0.59,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3025433.png&w=350&h=254
26,D.Montgomery,CHI,231,-0.02,-0.34,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4035538.png&w=350&h=254
45,G.Bernard,CIN,142,-0.03,-0.9,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15826.png&w=350&h=254
2,N.Chubb,CLE,216,0.09,0.73,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128720.png&w=350&h=254
34,E.Elliott,DAL,249,-0.12,-0.55,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3051392.png&w=350&h=254
18,M.Gordon,DEN,234,0.02,-0.16,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576434.png&w=350&h=254
49,A.Peterson,DET,151,-0.12,-1.08,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/10452.png&w=350&h=254
5,A.Jones,GB,254,0.02,0.4,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3042519.png&w=350&h=254
50,Da.Johnson,HOU,129,-0.13,-1.1,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2508176.png&w=350&h=254
22,J.Taylor,IND,203,0.04,-0.28,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4242335.png&w=350&h=254
42,J.Robinson,JAX,303,-0.06,-0.73,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4052042.png&w=350&h=254
24,C.Edwards-Helaire,KC,197,-0.01,-0.32,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4242214.png&w=350&h=254
15,D.Henderson,LA,141,0.01,-0.1,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4039359.png&w=350&h=254
58,J.Kelley,LAC,112,-0.27,-1.6,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3910544.png&w=350&h=254
52,J.Jacobs,LV,323,-0.18,-1.23,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4047365.png&w=350&h=254
38,M.Gaskin,MIA,136,-0.18,-0.58,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3886818.png&w=350&h=254
12,D.Cook,MIN,395,0.02,0.06,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png&w=350&h=254
29,D.Harris,NE,157,-0.02,-0.45,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3925347.png&w=350&h=254
8,A.Kamara,NO,204,0.03,0.19,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3054850.png&w=350&h=254
48,F.Gore,NYJ,254,-0.16,-1.05,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8479.png&w=350&h=254
10,M.Sanders,PHI,220,-0.02,0.08,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4045163.png&w=350&h=254
46,J.Conner,PIT,202,-0.05,-0.92,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3045147.png&w=350&h=254
11,C.Carson,SEA,138,0.08,0.06,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3919596.png&w=350&h=254
6,R.Mostert,SF,181,0.02,0.29,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576414.png&w=350&h=254
25,R.Jones,TB,221,-0.03,-0.33,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3912550.png&w=350&h=254
7,D.Henry,TEN,456,0.07,0.21,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3043078.png&w=350&h=254
28,A.Gibson,WAS,168,0.02,-0.44,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4360294.png&w=350&h=254